index,Lifted_mod_daily_weekly_value,Lifted_mod_daily_nextrefresh,Lifted_actual_daily,Lifted_actual_weekly,Lifted_actual_monthly,Week_structure_weekly_value,Week_structure_next_refresh,date,account_type,supplier_terminal_name,product_name,"('base_gallons', 'Daily')","('base_gallons', 'Monthly')","('base_gallons', 'Weekly')",daily_nextrefresh_flag,daily_weekValue_flag,"('beginning_gallons', 'Daily')","('beginning_gallons', 'Monthly')","('beginning_gallons', 'Weekly')","('en_allocation_status', 'Daily')","('en_allocation_status', 'Monthly')","('en_allocation_status', 'Weekly')","('percentage_allocation', 'Daily')","('percentage_allocation', 'Monthly')","('percentage_allocation', 'Weekly')","('alerts_ratability', 'Daily')","('alerts_ratability', 'Monthly')","('alerts_ratability', 'Weekly')","('next_refresh_date', 'Daily')","('next_refresh_date', 'Monthly')",Modified_NRD,"('next_refresh_date', 'Weekly')",sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
"2015-07-01 00:00:00",27551,27551,0,72951,0,w1,w1,"2015-07-01 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,3,3,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-04 00:00:00",1,1,0,0
"2015-07-02 00:00:00",9000,9000,0,81951,0,w1,w1,"2015-07-02 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-04 00:00:00",1,1,0,0
"2015-07-03 00:00:00",12099,12099,0,94050,0,w1,w1,"2015-07-03 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-04 00:00:00",1,1,0,0
"2015-07-04 00:00:00",0,0,0,0,0,w2,w2,"2015-07-04 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,0,0,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-11 00:00:00",1,1,0,0
"2015-07-05 00:00:00",0,0,0,7600,0,w2,w2,"2015-07-05 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,0,0,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-11 00:00:00",0,0,0,0
"2015-07-06 00:00:00",13000,13000,0,20600,0,w2,w2,"2015-07-06 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-11 00:00:00",0,0,0,0
"2015-07-07 00:00:00",5500,5500,0,26100,0,w2,w2,"2015-07-07 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-11 00:00:00",0,0,0,0
"2015-07-08 00:00:00",7600,7600,0,33700,0,w2,w2,"2015-07-08 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,1,1,NULL,NULL,159485,NULL,NULL,Available,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-11 00:00:00",0,0,0,0
"2015-07-09 00:00:00",0,0,0,0,0,w3,w2,"2015-07-09 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-07-11 00:00:00",1,0,0,0
"2015-07-10 00:00:00",0,0,0,130099,0,w3,w2,"2015-07-10 00:00:00","HIGH VOLUME TRUCK STOP","AZ - PHOENIX KM & PRO","CA EPA ULSD",NULL,NULL,0,0,0,NULL,NULL,159485,NULL,NULL,Limited,NULL,NULL,,NULL,NULL,,NULL,NULL,0,"2015-07-11 00:00:00",0,0,0,0
