,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,date
0,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/03 00:00:00 MDT,4000,ALB GAS,Daily,1,2015-06-02 08:08:11,286,2015-06-02
1,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/04 00:00:00 MDT,4000,ALB GAS,Daily,2,2015-06-03 07:40:43,7276,2015-06-03
2,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/05 00:00:00 MDT,4000,ALB GAS,Daily,1,2015-06-04 05:31:12,8998,2015-06-04
3,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/06 00:00:00 MDT,4000,ALB GAS,Daily,1,2015-06-05 03:37:55,12639,2015-06-05
4,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/08 00:00:00 MDT,4000,ALB GAS,Daily,1,2015-06-08 00:43:23,15256,2015-06-08
5,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/10 00:00:00 MDT,4000,ALB GAS,Daily,1,2015-06-09 07:37:35,17808,2015-06-09
6,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/10 00:00:00 MDT,4000,ALB GAS,Daily,1,2015-06-10 00:59:35,20425,2015-06-10
7,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/12 00:00:00 MDT,4000,ALB GAS,Daily,1,2015-06-11 06:21:51,23454,2015-06-11
8,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/14 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-13 23:46:03,49702,2015-06-13
9,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/15 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-14 23:46:06,69486,2015-06-14
10,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/16 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-15 23:46:04,100077,2015-06-15
11,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/17 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-16 23:46:02,122355,2015-06-16
12,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/18 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-17 23:46:05,140962,2015-06-17
13,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/19 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-18 23:46:03,159729,2015-06-18
14,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/20 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-19 23:46:02,176164,2015-06-19
15,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/21 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-20 23:46:05,190660,2015-06-20
16,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/22 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-21 23:46:04,215885,2015-06-21
17,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/23 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-22 23:46:05,238991,2015-06-22
18,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/24 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-23 23:46:01,276732,2015-06-23
19,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/25 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-24 23:45:09,306873,2015-06-24
20,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/26 00:00:00 MDT,4000,ALB GAS,Daily,9,2015-06-25 23:45:08,338299,2015-06-25
21,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/27 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-26 23:45:10,367615,2015-06-26
22,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/28 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-27 23:45:10,394760,2015-06-27
23,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/29 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-28 23:45:10,418931,2015-06-28
24,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,06/30 00:00:00 MDT,4000,ALB GAS,Daily,10,2015-06-29 23:45:12,449746,2015-06-29
25,Holly,Contract,,Available,,PILOT TRAVEL CENTERS LLC - PRODUCT,0.0,4000,Albuquerque NM - VEC - T109,0,4000,0,0,07/01 00:00:00 MDT,4000,ALB GAS,Daily,8,2015-06-30 23:45:10,476411,2015-06-30
26,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,7000,Albuquerque NM - VEC - T109,0,7000,0,0,06/03 00:00:00 MDT,7000,V,Daily,1,2015-06-02 08:08:11,287,2015-06-02
27,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,1000000,Albuquerque NM - VEC - T109,0,1000000,0,0,07/01 00:00:00 MDT,1000000,V,Monthly,1,2015-06-02 08:08:11,289,2015-06-02
28,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,300000,Albuquerque NM - VEC - T109,0,300000,0,0,06/09 00:00:00 MDT,300000,V,Weekly,1,2015-06-02 08:08:11,288,2015-06-02
29,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,7000,Albuquerque NM - VEC - T109,0,7000,0,0,06/04 00:00:00 MDT,7000,V,Daily,2,2015-06-03 07:40:43,7277,2015-06-03
30,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,1000000,Albuquerque NM - VEC - T109,0,1000000,0,0,07/01 00:00:00 MDT,1000000,V,Monthly,2,2015-06-03 07:40:43,7279,2015-06-03
31,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,300000,Albuquerque NM - VEC - T109,0,300000,0,0,06/09 00:00:00 MDT,300000,V,Weekly,2,2015-06-03 07:40:43,7278,2015-06-03
32,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,7000,Albuquerque NM - VEC - T109,0,7000,0,0,06/05 00:00:00 MDT,7000,V,Daily,1,2015-06-04 05:31:12,8999,2015-06-04
33,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,1000000,Albuquerque NM - VEC - T109,0,1000000,0,0,07/01 00:00:00 MDT,1000000,V,Monthly,1,2015-06-04 05:31:12,9001,2015-06-04
34,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,300000,Albuquerque NM - VEC - T109,0,300000,0,0,06/09 00:00:00 MDT,300000,V,Weekly,1,2015-06-04 05:31:12,9000,2015-06-04
35,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,7000,Albuquerque NM - VEC - T109,0,7000,0,0,06/06 00:00:00 MDT,7000,V,Daily,1,2015-06-05 03:37:55,12640,2015-06-05
36,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,1000000,Albuquerque NM - VEC - T109,0,1000000,0,0,07/01 00:00:00 MDT,1000000,V,Monthly,1,2015-06-05 03:37:55,12642,2015-06-05
37,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,300000,Albuquerque NM - VEC - T109,0,300000,0,0,06/09 00:00:00 MDT,300000,V,Weekly,1,2015-06-05 03:37:55,12641,2015-06-05
38,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,7000,Albuquerque NM - VEC - T109,0,7000,0,0,06/08 00:00:00 MDT,7000,V,Daily,1,2015-06-08 00:43:23,15257,2015-06-08
39,Holly,Contract,,Unknown,,PILOT TRAVEL CENTERS LLC - PRODUCT,,1000000,Albuquerque NM - VEC - T109,0,1000000,0,0,07/01 00:00:00 MDT,1000000,V,Monthly,1,2015-06-08 00:43:23,15259,2015-06-08
