,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,date
0,Exxon,Contract,Above Trend,Out,150%,PILOT TRAVEL CENTERS LLC 103637 IW,628,942,BATON ROUGE LA (MOC) - 00CE,1200,-258,0,0,06/03 00:00:00 CDT,628,Prem CG DS,Daily,1,2015-06-02 08:05:05,255,2015-06-02
1,Exxon,Contract,On Track,Out,140%,PILOT TRAVEL CENTERS LLC 103637 IW,4393,6150,BATON ROUGE LA (MOC) - 00CE,4800,1350,0,0,06/04 00:00:00 CDT,4393,Prem CG DS,Weekly,1,2015-06-02 08:05:05,256,2015-06-02
2,Exxon,Contract,Below Trend,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,628,942,BATON ROUGE LA (MOC) - 00CE,0,942,0,0,06/04 00:00:00 CDT,628,Prem CG DS,Daily,3,2015-06-03 07:40:41,5968,2015-06-03
3,Exxon,Contract,On Track,Available,140%,PILOT TRAVEL CENTERS LLC 103637 IW,4393,6150,BATON ROUGE LA (MOC) - 00CE,4800,1350,0,0,06/04 00:00:00 CDT,4393,Prem CG DS,Weekly,3,2015-06-03 07:40:41,5969,2015-06-03
4,Exxon,Contract,Below Trend,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,628,942,BATON ROUGE LA (MOC) - 00CE,0,942,0,0,06/05 00:00:00 CDT,628,Prem CG DS,Daily,1,2015-06-04 05:31:09,8681,2015-06-04
5,Exxon,Contract,Below Trend,Available,140%,PILOT TRAVEL CENTERS LLC 103637 IW,4393,6150,BATON ROUGE LA (MOC) - 00CE,0,6150,0,0,06/11 00:00:00 CDT,4393,Prem CG DS,Weekly,1,2015-06-04 05:31:09,8682,2015-06-04
6,Exxon,Contract,Below Trend,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,628,942,BATON ROUGE LA (MOC) - 00CE,0,942,0,0,06/06 00:00:00 CDT,628,Prem CG DS,Daily,1,2015-06-05 03:39:57,12576,2015-06-05
7,Exxon,Contract,Below Trend,Available,140%,PILOT TRAVEL CENTERS LLC 103637 IW,4393,6150,BATON ROUGE LA (MOC) - 00CE,0,6150,0,0,06/11 00:00:00 CDT,4393,Prem CG DS,Weekly,1,2015-06-05 03:39:57,12577,2015-06-05
8,Exxon,Contract,Below Trend,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,628,942,BATON ROUGE LA (MOC) - 00CE,0,942,0,0,06/08 00:00:00 CDT,628,Prem CG DS,Daily,1,2015-06-08 00:45:17,15193,2015-06-08
9,Exxon,Contract,Below Trend,Available,140%,PILOT TRAVEL CENTERS LLC 103637 IW,4393,6150,BATON ROUGE LA (MOC) - 00CE,1200,4950,0,0,06/11 00:00:00 CDT,4393,Prem CG DS,Weekly,1,2015-06-08 00:45:17,15194,2015-06-08
10,Exxon,Contract,Above Trend,Out,150%,PILOT TRAVEL CENTERS LLC 103637 IW,628,942,BATON ROUGE LA (MOC) - 00CE,1200,-258,0,0,06/10 00:00:00 CDT,628,Prem CG DS,Daily,1,2015-06-09 07:40:00,17935,2015-06-09
11,Exxon,Contract,Below Trend,Out,140%,PILOT TRAVEL CENTERS LLC 103637 IW,4393,6150,BATON ROUGE LA (MOC) - 00CE,3600,2550,0,0,06/11 00:00:00 CDT,4393,Prem CG DS,Weekly,1,2015-06-09 07:40:00,17936,2015-06-09
12,Exxon,Contract,Below Trend,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,628,942,BATON ROUGE LA (MOC) - 00CE,0,942,0,0,06/11 00:00:00 CDT,628,Prem CG DS,Daily,1,2015-06-10 01:02:46,20806,2015-06-10
13,Exxon,Contract,Below Trend,Available,140%,PILOT TRAVEL CENTERS LLC 103637 IW,4393,6150,BATON ROUGE LA (MOC) - 00CE,3600,2550,0,0,06/11 00:00:00 CDT,4393,Prem CG DS,Weekly,1,2015-06-10 01:02:46,20807,2015-06-10
14,Exxon,Contract,Below Trend,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,628,942,BATON ROUGE LA (MOC) - 00CE,0,942,0,0,06/12 00:00:00 CDT,628,Prem CG DS,Daily,1,2015-06-11 06:21:08,22273,2015-06-11
15,Exxon,Contract,Below Trend,Available,140%,PILOT TRAVEL CENTERS LLC 103637 IW,4393,6150,BATON ROUGE LA (MOC) - 00CE,0,6150,0,0,06/18 00:00:00 CDT,4393,Prem CG DS,Weekly,1,2015-06-11 06:21:08,22274,2015-06-11
16,Exxon,Contract,On Track,Out,150%,PILOT TRAVEL CENTERS LLC 103637 IW,628,942,BATON ROUGE LA (MOC) - 00CE,1005,-63,0,0,06/14 00:00:00 CDT,628,Prem CG DS,Daily,9,2015-06-13 23:51:33,51137,2015-06-13
17,Exxon,Contract,On Track,Out,140%,PILOT TRAVEL CENTERS LLC 103637 IW,4393,6150,BATON ROUGE LA (MOC) - 00CE,2205,3945,0,0,06/18 00:00:00 CDT,4393,Prem CG DS,Weekly,9,2015-06-13 23:51:33,51138,2015-06-13
18,Exxon,Contract,Above Trend,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,628,942,BATON ROUGE LA (MOC) - 00CE,3800,-2858,0,5059,06/15 00:00:00 CDT,628,Prem CG DS,Daily,11,2015-06-14 23:51:41,70921,2015-06-14
19,Exxon,Contract,Above Trend,Available,140%,PILOT TRAVEL CENTERS LLC 103637 IW,4393,6150,BATON ROUGE LA (MOC) - 00CE,6005,145,0,5059,06/18 00:00:00 CDT,4393,Prem CG DS,Weekly,11,2015-06-14 23:51:41,70922,2015-06-14
20,Exxon,Contract,Below Trend,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,628,942,BATON ROUGE LA (MOC) - 00CE,0,942,5059,5059,06/16 00:00:00 CDT,628,Prem CG DS,Daily,11,2015-06-15 23:48:49,100204,2015-06-15
