index,Lifted_mod_daily_weekly_value,Lifted_mod_daily_nextrefresh,Lifted_actual_daily,Lifted_actual_weekly,Lifted_actual_monthly,Week_structure_weekly_value,Week_structure_next_refresh,date,account_type,supplier_terminal_name,product_name,"('base_gallons', 'Daily')","('base_gallons', 'Monthly')","('base_gallons', 'Weekly')",daily_nextrefresh_flag,daily_weekValue_flag,"('beginning_gallons', 'Daily')","('beginning_gallons', 'Monthly')","('beginning_gallons', 'Weekly')","('en_allocation_status', 'Daily')","('en_allocation_status', 'Monthly')","('en_allocation_status', 'Weekly')","('percentage_allocation', 'Daily')","('percentage_allocation', 'Monthly')","('percentage_allocation', 'Weekly')","('alerts_ratability', 'Daily')","('alerts_ratability', 'Monthly')","('alerts_ratability', 'Weekly')","('next_refresh_date', 'Daily')","('next_refresh_date', 'Monthly')",Modified_NRD,"('next_refresh_date', 'Weekly')",sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
"2015-06-01 00:00:00",0,0,0,0,0,w1,w1,"2015-06-01 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-06-03 18:00:00",1,1,1,1
"2015-06-02 00:00:00",8805,8805,8805,79264,17606,w1,w1,"2015-06-02 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,16057,481715,112400,0,0,16057,481715,112400,Available,Available,Available,100%,100%,100%,107%,87%,90%,"06/02 18:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-03 18:00:00",0,0,0,0
"2015-06-03 00:00:00",8810,8810,8810,88074,26416,w1,w1,"2015-06-03 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,16057,481715,112400,0,0,16057,481715,112400,Available,Available,Available,100%,100%,100%,112%,73%,85%,"06/03 18:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-03 18:00:00",0,0,0,0
"2015-06-04 00:00:00",8796,8796,8796,8796,35212,w2,w2,"2015-06-04 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,16057,481715,112400,0,0,16057,481715,112400,Available,Available,Available,100%,100%,100%,137%,70%,137%,"06/04 18:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-10 18:00:00",1,1,0,0
"2015-06-05 00:00:00",17742,17742,8846,26538,52954,w2,w2,"2015-06-05 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,16057,481715,112400,1,1,24086,602144,168600,Available,Available,Available,150%,125%,150%,171%,81%,125%,"06/05 18:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-10 18:00:00",1,1,0,0
"2015-06-06 00:00:00",0,0,0,0,0,w3,w2,"2015-06-06 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-06-10 18:00:00",1,0,0,0
"2015-06-07 00:00:00",0,0,0,0,0,w3,w2,"2015-06-07 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-06-10 18:00:00",1,0,0,0
"2015-06-08 00:00:00",0,0,0,61987,88403,w3,w2,"2015-06-08 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,16057,481715,112400,0,0,16057,481715,112400,Available,Available,Available,100%,100%,100%,0%,79%,92%,"06/08 18:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-10 18:00:00",0,0,0,0
"2015-06-09 00:00:00",17618,17618,0,79605,106021,w3,w2,"2015-06-09 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,16057,481715,112400,1,1,16057,481715,112400,Available,Available,Available,100%,100%,100%,0%,80%,90%,"06/09 18:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-10 18:00:00",0,0,0,0
"2015-06-10 00:00:00",8816,8816,0,88421,114837,w3,w2,"2015-06-10 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,16057,481715,112400,1,1,16057,481715,112400,Available,Available,Available,100%,100%,100%,0%,80%,89%,"06/10 18:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-10 18:00:00",0,0,0,0
"2015-06-11 00:00:00",8710,8710,8710,8710,132264,w4,w3,"2015-06-11 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,16057,481715,112400,0,0,16057,481715,112400,Available,Available,Available,100%,100%,100%,125%,81%,125%,"06/11 18:00:00 MDT","07/01 00:00:00 MDT",0,"2015-06-17 18:00:00",1,1,0,0
"2015-06-12 00:00:00",0,17721,0,0,0,w5,w3,"2015-06-12 00:00:00","PILOT TRAVEL CENTERS LLC-10024029BR","ALBUQUERQUE NM PSX - 030A",GASOLINE,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2015-06-17 18:00:00",1,0,0,0
